iter	RMSE
0	0.382224628
1	0.3748336875
2	0.3677605289
3	0.3609247186
4	0.3542132515
5	0.347407995
6	0.3410726975
7	0.3352466291
8	0.3291704776
9	0.3233656966
10	0.317526619
11	0.3120524244
12	0.3064302641
13	0.3013790297
14	0.2968906855
15	0.2919575305
16	0.287170702
17	0.283088607
18	0.2786807452
19	0.2744989221
20	0.2700758574
21	0.2657018822
22	0.2615930102
23	0.257546793
24	0.2539607387
25	0.2499947794
26	0.2463912419
27	0.2431571236
28	0.2393609095
29	0.2361095647
30	0.2328370013
31	0.2299868989
32	0.2271434074
33	0.2242972779
34	0.2213092364
35	0.2187749826
36	0.2159826061
37	0.2133098169
38	0.2105381576
39	0.2080062664
40	0.2054570263
41	0.2029802184
42	0.2007762535
43	0.1986973374
44	0.1965843183
45	0.1943970824
46	0.1924218707
47	0.1906252406
48	0.1886965486
49	0.1869117585
50	0.1853374054
51	0.1836451812
52	0.1821323829
53	0.180534322
54	0.1787156961
55	0.1769542387
56	0.1754377131
57	0.1740361325
58	0.1726031944
59	0.1711589193
60	0.1697515302
61	0.1684667861
62	0.1670575981
63	0.1657119054
64	0.1645257444
65	0.1632612353
66	0.1620442485
67	0.1610235002
68	0.1599055169
69	0.1587600582
70	0.1577415183
71	0.1568042381
72	0.1558592928
73	0.1548798795
74	0.1538460741
75	0.1528488187
76	0.1519795095
77	0.1510125416
78	0.1502135117
79	0.1493009947
80	0.148502435
81	0.1476505783
82	0.1467705219
83	0.1460068821
84	0.1453567676
85	0.1446388189
86	0.1437376308
87	0.1430765872
88	0.1425203266
89	0.1419577609
90	0.1413275484
91	0.1406980912
92	0.1400053037
93	0.1393363686
94	0.1386880354
95	0.1381458091
96	0.1375681917
97	0.137062368
98	0.136629009
99	0.1361051086
100	0.1355166002
101	0.1349085431
102	0.1344329012
103	0.1339175267
104	0.1334493864
105	0.133024889
106	0.1325785586
107	0.1321057792
108	0.1316553244
109	0.1311757818
110	0.1307716619
111	0.1304040634
112	0.1299441571
113	0.1295244075
114	0.1290709917
115	0.1287585438
116	0.1283699135
117	0.1279905568
118	0.1276021771
119	0.1273079978
120	0.1269889228
121	0.1264769032
122	0.1261861747
123	0.1258932923
124	0.1254439319
125	0.1251202142
126	0.1248161021
127	0.1245029353
128	0.1241569201
129	0.123744033
130	0.1233776223
131	0.1230664271
132	0.1227464155
133	0.1224822298
134	0.1221686179
135	0.1218655719
136	0.1215551021
137	0.1213261802
138	0.1210591499
139	0.1206594949
140	0.1203619927
141	0.1201134803
142	0.1199609942
143	0.1196573781
144	0.1193211345
145	0.1189662661
146	0.1186820032
147	0.1183205747
148	0.1180748848
149	0.1177127626
150	0.1174981729
151	0.1173319766
152	0.117107534
153	0.1168053602
154	0.1165956944
155	0.1163335323
156	0.1161140171
157	0.1158273856
158	0.1156654796
159	0.115447524
160	0.1151567721
161	0.1149280888
162	0.1146599538
163	0.1144700008
164	0.1142380061
165	0.1140203388
166	0.1137825268
167	0.1135271745
168	0.1132748021
169	0.1130503557
170	0.1128547178
171	0.1126974635
172	0.1124121996
173	0.1122244836
174	0.1119980289
175	0.1118047145
176	0.1115656118
177	0.1113766293
178	0.1112285339
179	0.1109656697
180	0.1107715748
181	0.1105606496
182	0.1103020011
183	0.1101380906
184	0.1099818768
185	0.1098746036
186	0.1096298614
187	0.1094591573
188	0.1092756003
189	0.1091330795
190	0.1089738139
191	0.1088015643
192	0.1085520416
193	0.1083101609
194	0.108114265
195	0.1079552831
196	0.1077889815
197	0.1076110792
198	0.107429467
199	0.1071853764
200	0.1070207939
201	0.1068083765
202	0.1066681534
203	0.106527026
204	0.1063442924
205	0.1061989317
206	0.1060904612
207	0.1059326707
208	0.1058094256
209	0.1056696962
210	0.1055300633
211	0.1053258996
212	0.105193746
213	0.1050467516
214	0.104792372
215	0.104629629
216	0.1045061606
217	0.1043639175
218	0.1042095991
219	0.1041120815
220	0.103940605
221	0.1037760589
222	0.1036223338
223	0.1034564517
224	0.1032813115
225	0.1031350315
226	0.1030241615
227	0.1028450992
228	0.10272013
229	0.1025600786
230	0.1023942989
231	0.102292696
232	0.1021607493
233	0.1019665014
234	0.1018542677
235	0.1017538613
236	0.1016687292
237	0.101508702
238	0.1013657834
239	0.1011997006
240	0.1010124318
241	0.1008878063
242	0.1007383139
243	0.1005948832
244	0.1004841652
245	0.1003583953
246	0.1002365091
247	0.1001278676
248	0.09998610434
249	0.09986581545
250	0.09971154235
251	0.09957782848
252	0.0994451872
253	0.09934783762
254	0.09924664635
255	0.0991411485
256	0.09901982672
257	0.09888090743
258	0.09879730188
259	0.0986892624
260	0.09854204817
261	0.09844188071
262	0.09833095702
263	0.09823608476
264	0.09809409156
265	0.09800576897
266	0.09792666445
267	0.09778915734
268	0.09767636176
269	0.09749365446
270	0.09737258464
271	0.09728142828
272	0.09714774205
273	0.09701482511
274	0.09690846252
275	0.09676918997
276	0.09664084459
277	0.09656825583
278	0.09647642572
279	0.0963806164
280	0.09619028715
281	0.09610186444
282	0.09600572212
283	0.09590466361
284	0.09580008864
285	0.09572588665
286	0.09565426302
287	0.09552063481
288	0.0954029911
289	0.09525391279
290	0.09505074482
291	0.09497849465
292	0.09488148817
293	0.09478353478
294	0.09466941413
295	0.09459837248
296	0.09447403002
297	0.09434848435
298	0.09427906282
299	0.0941436956
300	0.09406104946
301	0.09388212223
302	0.0937578402
303	0.09366517427
304	0.09357820093
305	0.093514441
306	0.09341064923
307	0.09326106287
308	0.09314983726
309	0.09304459504
310	0.09286310801
311	0.09273361656
312	0.09261855244
313	0.09251509045
314	0.09240435131
315	0.09226827865
316	0.09213509902
317	0.09203362046
318	0.09191840353
319	0.09181697861
320	0.09172930479
321	0.09164883397
322	0.09153793345
323	0.09147477485
324	0.09139013064
325	0.09127117565
326	0.09114670837
327	0.09106406416
328	0.0909321524
329	0.09083412305
330	0.09072843395
331	0.09063284426
332	0.0905324936
333	0.09043833204
334	0.09035861115
335	0.09027190857
336	0.09014619859
337	0.0900762309
338	0.08995574441
339	0.08986768481
340	0.08974282891
341	0.0896012005
342	0.08949925706
343	0.0893921064
344	0.08931245107
345	0.08924987735
346	0.08912950058
347	0.08903665022
