iter	Passed	Remaining
0	8	8205
1	15	7662
2	22	7347
3	29	7270
4	35	7003
5	41	6896
6	47	6798
7	53	6678
8	59	6577
9	65	6519
10	71	6469
11	78	6462
12	85	6458
13	91	6434
14	97	6411
15	103	6380
16	110	6386
17	116	6365
18	122	6349
19	129	6336
20	135	6305
21	142	6354
22	150	6388
23	158	6425
24	164	6429
25	171	6421
26	178	6423
27	184	6393
28	190	6378
29	197	6385
30	204	6400
31	212	6417
32	219	6423
33	226	6444
34	233	6440
35	241	6467
36	249	6495
37	256	6492
38	262	6469
39	268	6441
40	274	6426
41	281	6414
42	287	6399
43	293	6380
44	300	6374
45	306	6347
46	312	6343
47	319	6340
48	326	6345
49	333	6330
50	339	6312
51	346	6308
52	352	6299
53	359	6293
54	365	6278
55	371	6260
56	378	6255
57	384	6249
58	391	6241
59	397	6230
60	403	6209
61	409	6195
62	415	6181
63	421	6169
64	428	6160
65	434	6142
66	441	6143
67	446	6126
68	453	6114
69	459	6102
70	465	6085
71	471	6076
72	477	6062
73	484	6057
74	489	6036
75	495	6025
76	501	6010
77	507	5996
78	513	5984
79	519	5979
80	526	5968
81	531	5952
82	537	5938
83	543	5928
84	549	5914
85	555	5900
86	560	5886
87	567	5880
88	573	5873
89	580	5874
90	586	5862
91	593	5861
92	599	5848
93	606	5847
94	613	5841
95	619	5829
96	625	5820
97	631	5810
98	637	5801
99	643	5789
100	649	5778
101	655	5774
102	662	5770
103	669	5766
104	676	5765
105	683	5760
106	689	5753
107	695	5747
108	702	5739
109	708	5734
110	714	5724
111	721	5718
112	731	5743
113	740	5754
114	746	5741
115	752	5734
116	758	5726
117	765	5721
118	772	5716
119	778	5706
120	783	5693
121	789	5682
122	796	5676
123	802	5670
124	808	5661
125	815	5653
126	821	5644
127	827	5634
128	833	5626
129	839	5615
130	845	5606
131	852	5605
132	858	5596
133	864	5588
134	871	5580
135	876	5570
136	882	5559
137	889	5553
138	894	5543
139	901	5536
140	906	5525
141	914	5524
142	921	5524
143	928	5517
144	934	5507
145	940	5499
146	946	5490
147	952	5486
148	959	5477
149	965	5468
150	970	5457
151	977	5450
152	982	5440
153	988	5432
154	995	5426
155	1000	5414
156	1006	5403
157	1011	5391
158	1018	5386
159	1024	5379
160	1031	5374
161	1036	5363
162	1042	5354
163	1048	5344
164	1054	5336
165	1060	5327
